31,30,27,32,13,14,1,35,49,8,11,7,5,15,43,18,44,16,20,17,26,38,6,33,34,40,10,21,36,4,2,3,9,46,41,48,22,24,45,42,37,28,19,23,47,29,39,12,25
17,23,49,12,19,42,47,37,16,41,25,39,2,30,24,14,6,15,38,29,8,5,36,35,48,32,13,31,40,45,20,18,33,43,27,3,4,21,1,7,10,9,11,22,28,46,34,26,44
39,33,7,40,9,28,22,19,21,14,32,31,6,44,5,34,36,46,48,37,41,8,25,27,43,11,47,23,17,16,30,49,38,26,10,2,13,29,18,35,20,12,24,4,45,1,3,42,15
34,5,37,36,25,15,6,13,33,1,40,23,24,18,22,42,19,3,39,28,21,26,16,12,44,4,46,45,32,14,47,35,11,7,29,43,49,17,30,8,27,41,38,31,9,10,48,20,2
35,2,43,26,11,38,18,46,42,45,10,20,22,36,27,32,23,31,47,30,4,9,28,14,1,29,24,3,25,13,12,39,6,48,44,34,15,33,16,5,40,19,8,7,41,17,49,37,21
24,4,10,46,29,21,44,38,47,9,12,48,34,3,33,25,2,7,40,1,45,20,37,19,22,41,49,17,31,15,23,5,8,28,42,6,39,14,32,26,36,11,43,13,16,30,35,27,18
41,8,16,20,3,48,45,28,29,4,26,43,27,17,35,49,12,11,9,10,13,7,2,42,30,18,15,39,22,19,37,1,21,24,34,47,38,25,23,46,44,31,40,32,5,36,6,33,14
5,20,6,22,24,16,15,4,2,13,48,47,35,38,17,8,9,43,32,23,40,21,33,29,37,39,14,18,41,44,31,36,10,49,25,11,30,3,26,27,7,34,12,45,46,42,19,28,1
25,27,46,39,38,33,23,12,19,24,31,3,16,6,49,1,30,35,18,5,7,10,47,44,13,36,28,42,45,26,17,34,22,29,32,37,40,20,2,43,14,8,4,21,15,41,9,48,11
43,1,35,48,26,44,31,49,23,11,22,18,17,34,21,10,37,41,12,36,46,16,24,3,7,30,32,20,33,6,28,4,14,47,5,25,29,19,9,15,42,45,27,8,39,40,2,38,13
29,42,32,3,28,47,4,45,9,39,20,37,25,7,2,31,38,6,15,11,14,1,5,8,46,22,43,41,13,24,19,40,27,12,48,21,18,10,49,23,17,44,36,33,26,35,30,34,16
14,12,40,49,41,9,37,32,43,44,28,10,42,46,34,20,13,24,4,33,19,48,45,26,2,38,11,27,15,8,16,7,39,21,30,35,6,5,22,47,1,36,17,29,25,18,31,23,3
11,45,21,8,17,36,2,33,41,29,30,26,40,27,48,44,39,47,25,42,16,6,4,15,49,19,35,34,46,23,1,43,18,3,9,28,12,32,13,24,31,38,37,14,22,5,20,7,10
10,19,34,7,18,30,13,36,14,21,15,1,8,5,26,28,45,22,29,27,3,25,12,23,40,31,17,9,38,35,42,11,37,2,20,33,16,4,39,41,48,46,32,49,24,44,43,47,6
30,14,45,44,22,25,19,47,27,15,23,2,20,29,10,13,35,18,1,41,6,46,11,5,39,9,7,8,49,36,34,48,40,16,24,38,3,42,17,21,43,33,28,26,12,4,37,31,32
