3,1,4,5,6,12,15,13,7,8,14,11,16,9,2,10
6,7,11,13,14,10,5,8,9,2,16,3,15,1,12,4
16,14,8,10,7,9,4,2,12,15,5,1,6,11,13,3
15,9,12,2,16,3,11,1,10,13,4,6,7,14,8,5
9,11,13,6,15,7,16,14,3,5,1,10,2,8,4,12
8,3,1,12,5,4,2,6,14,16,11,7,10,13,15,9
5,16,15,4,9,1,13,10,2,6,8,12,11,3,14,7
14,10,2,7,8,11,3,12,13,4,9,15,5,16,1,6
10,15,7,8,3,5,6,11,1,14,13,16,4,12,9,2
12,4,3,9,13,15,8,16,11,10,6,2,14,5,7,1
13,2,6,16,1,14,12,4,5,7,15,9,8,10,3,11
1,5,14,11,10,2,7,9,8,12,3,4,13,15,6,16
7,13,10,3,11,8,1,5,4,9,2,14,12,6,16,15
2,6,9,1,12,16,14,7,15,11,10,8,3,4,5,13
4,8,16,15,2,13,10,3,6,1,12,5,9,7,11,14
11,12,5,14,4,6,9,15,16,3,7,13,1,2,10,8
